id,title,description,publishTime,kind_stats,duration_seconds,video_type,viewCount,likeCount,commentCount,thumbnails.default.url,thumbnails.medium.url,thumbnails.high.url,contentDetails.duration,contentDetails.dimension,topicDetails.topicCategories,snippet.defaultLanguage,localizations.en.title,localizations.en.description,snippet.tags,pull_date
3fgPdY6ZxB0,NEXT STOP: MIAMI 🇵🇹,"From Portugal to Miami 🇺🇸, one team, one dream.

Portugal's World Cup journey takes its next step with the team flying to Miami
Let's go, Portugal 

#Portugal #WorldCup #CristianoRonaldo #fifaworldcuponyt",2026-06-16T13:54:41Z,youtube#video,264,long,1328389,101619,5058,https://i.ytimg.com/vi/3fgPdY6ZxB0/default.jpg,https://i.ytimg.com/vi/3fgPdY6ZxB0/mqdefault.jpg,https://i.ytimg.com/vi/3fgPdY6ZxB0/hqdefault.jpg,PT4M24S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,NEXT STOP: MIAMI 🇵🇹,"From Portugal to Miami 🇺🇸, one team, one dream.

Portugal's World Cup journey takes its next step with the team flying to Miami
Let's go, Portugal 

#Portugal #WorldCup #CristianoRonaldo #fifaworldcuponyt","['#FIFAWorldCuponYT', '#CristianoRonaldo', '#Portugal']",2026-06-17 13:13:18.890519+00:00
TeAmnI1WuAk,🇵🇹 | United as one,"⚽ The journey started in Portugal.

A tour behind the scenes with Cristiano and his teammates  🇺🇸🇲🇽🇨🇦

No interviews. No scripts. Just the sounds, moments and emotions that define a group.",2026-06-14T13:28:42Z,youtube#video,39,short,778416,76316,4813,https://i.ytimg.com/vi/TeAmnI1WuAk/default.jpg,https://i.ytimg.com/vi/TeAmnI1WuAk/mqdefault.jpg,https://i.ytimg.com/vi/TeAmnI1WuAk/hqdefault.jpg,PT39S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,🇵🇹 | United as one,"⚽ The journey started in Portugal.

A tour behind the scenes with Cristiano and his teammates  🇺🇸🇲🇽🇨🇦

No interviews. No scripts. Just the sounds, moments and emotions that define a group.",['#FIFAWorldCupOnYT'],2026-06-17 13:13:18.890553+00:00
EvjZ7ckgYTg,Cristiano Ronaldo x Céline Dept: THE FULL MEETING,"Céline finally met Cristiano Ronaldo at Portugal's training camp. 🇵🇹
Watch the entire sequence and enjoy every moment.

#FIFAWorldCupOnYT",2026-06-13T16:21:33Z,youtube#video,121,long,4049264,213443,9326,https://i.ytimg.com/vi/EvjZ7ckgYTg/default.jpg,https://i.ytimg.com/vi/EvjZ7ckgYTg/mqdefault.jpg,https://i.ytimg.com/vi/EvjZ7ckgYTg/hqdefault.jpg,PT2M1S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,Cristiano Ronaldo x Céline Dept: THE FULL MEETING,"Céline finally met Cristiano Ronaldo at Portugal's training camp. 🇵🇹
Watch the entire sequence and enjoy every moment.

#FIFAWorldCupOnYT",N/A,2026-06-17 13:13:18.890562+00:00
qraNaY45PlI,ROAD TO USA 🇵🇹 | United as one,"⚽ The journey starts here.

This first stage takes you behind the scenes with Cristiano and his teammates as preparations begin for the World Cup 🇺🇸🇲🇽🇨🇦

No interviews. No scripts. Just the sounds, moments and emotions that define a group.

One team. One journey. 💪🏻 United as one.
#FIFAWorldCupOnYT",2026-06-12T14:01:03Z,youtube#video,981,long,1722165,124319,6334,https://i.ytimg.com/vi/qraNaY45PlI/default.jpg,https://i.ytimg.com/vi/qraNaY45PlI/mqdefault.jpg,https://i.ytimg.com/vi/qraNaY45PlI/hqdefault.jpg,PT16M21S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,ROAD TO USA 🇵🇹 | United as one,"⚽ The journey starts here.

This first stage takes you behind the scenes with Cristiano and his teammates as preparations begin for the World Cup 🇺🇸🇲🇽🇨🇦

No interviews. No scripts. Just the sounds, moments and emotions that define a group.

One team. One journey. 💪🏻 United as one.
#FIFAWorldCupOnYT",N/A,2026-06-17 13:13:18.890571+00:00
rz6fRlvO77U,COMEÇA HOJE!💥 O MUNDIAL É NO YOUTUBE,"⚽️ UM JOGO POR DIA, TODOS OS DIAS, NO YOUTUBE DA LIVEMODETV, SÓ EM PORTUGAL. 

NÃO PERCAS NADA E PREPARA-TE PARA APOIAR PORTUGAL 🇵🇹 É A NOSSA VEZ!

#MadeInLMTV #Ronaldo #Mundial2026 #siuuuuu",2026-06-10T23:01:57Z,youtube#video,30,short,746423,45226,2717,https://i.ytimg.com/vi/rz6fRlvO77U/default.jpg,https://i.ytimg.com/vi/rz6fRlvO77U/mqdefault.jpg,https://i.ytimg.com/vi/rz6fRlvO77U/hqdefault.jpg,PT30S,2d,['https://en.wikipedia.org/wiki/Video_game_culture'],pt-PT,N/A,N/A,N/A,2026-06-17 13:13:18.890578+00:00
quq1KGAsVBA,Here we go 🚀🚀🚀,,2026-06-05T20:01:34Z,youtube#video,80,long,1066266,114171,8343,https://i.ytimg.com/vi/quq1KGAsVBA/default.jpg,https://i.ytimg.com/vi/quq1KGAsVBA/mqdefault.jpg,https://i.ytimg.com/vi/quq1KGAsVBA/hqdefault.jpg,PT1M20S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",es,N/A,N/A,N/A,2026-06-17 13:13:18.890586+00:00
Y8GBVHkrdD8,A special moment. From a special angle. 🏆 💙💛,"These are the moments that make all the hard work worth it. Thank you for all your support, always. 🙏",2026-05-22T14:40:22Z,youtube#video,128,long,941063,79663,6270,https://i.ytimg.com/vi/Y8GBVHkrdD8/default.jpg,https://i.ytimg.com/vi/Y8GBVHkrdD8/mqdefault.jpg,https://i.ytimg.com/vi/Y8GBVHkrdD8/hqdefault.jpg,PT2M8S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,A special moment. From a special angle. 🏆 💙💛,"These are the moments that make all the hard work worth it. Thank you for all your support, always. 🙏",N/A,2026-06-17 13:13:18.890593+00:00
Ca0z9n8Uivo,🏆 CHAMPIONS 💙💛 WHAT A NIGHT!,"A night to remember.
Pride, passion and a huge trophy shared with an incredible team and unforgettable fans. 💙💛🏆
These are the moments that make all the hard work worth it. Thank you for all your support, always. 🙏",2026-05-22T14:29:31Z,youtube#video,192,long,1194283,116267,11034,https://i.ytimg.com/vi/Ca0z9n8Uivo/default.jpg,https://i.ytimg.com/vi/Ca0z9n8Uivo/mqdefault.jpg,https://i.ytimg.com/vi/Ca0z9n8Uivo/hqdefault.jpg,PT3M12S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",en,🏆 CHAMPIONS 💙💛 WHAT A NIGHT!,"A night to remember.
Pride, passion and a huge trophy shared with an incredible team and unforgettable fans. 💙💛🏆
These are the moments that make all the hard work worth it. Thank you for all your support, always. 🙏",N/A,2026-06-17 13:13:18.890601+00:00
obajORA0ICM,Cristiano Takes the MMA Show To Lisbon in a WOW night!,"Tomorrow night, Lisbon becomes the center of the fight world.
The cage is ready.The fighters are ready.
LET'S WOW!!! 👊 
IT'S TIME FOR THE CITY TO ANSWER 🇵🇹
18.30h. Campo Pequeno
https://www.ticketline.pt/evento/wow-fc-30-lisboa-104221",2026-05-21T12:08:18Z,youtube#video,625,long,246356,18968,1832,https://i.ytimg.com/vi/obajORA0ICM/default.jpg,https://i.ytimg.com/vi/obajORA0ICM/mqdefault.jpg,https://i.ytimg.com/vi/obajORA0ICM/hqdefault.jpg,PT10M25S,2d,"['https://en.wikipedia.org/wiki/Mixed_martial_arts', 'https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Television_program']",en,Cristiano Takes the MMA Show To Lisbon in a WOW night!,"Tomorrow night, Lisbon becomes the center of the fight world.
The cage is ready.The fighters are ready.
LET'S WOW!!! 👊 
IT'S TIME FOR THE CITY TO ANSWER 🇵🇹
18.30h. Campo Pequeno
https://www.ticketline.pt/evento/wow-fc-30-lisboa-104221",N/A,2026-06-17 13:13:18.890608+00:00
2fFBC3Z2oiU,Lisbon 🇵🇹 is ready for WOW FC | Live May 22nd,"Lisbon, here we go 🇵🇹

Proud to support this sport and witness these incredible athletes live at Campo Pequeno.

This is more than a fight night. It’s an amazing experience. 
Big energy. Big moments. 

@WOWFC  
Let’s go.",2026-04-23T14:14:33Z,youtube#video,50,short,410163,30519,3896,https://i.ytimg.com/vi/2fFBC3Z2oiU/default.jpg,https://i.ytimg.com/vi/2fFBC3Z2oiU/mqdefault.jpg,https://i.ytimg.com/vi/2fFBC3Z2oiU/hqdefault.jpg,PT50S,2d,"['https://en.wikipedia.org/wiki/Mixed_martial_arts', 'https://en.wikipedia.org/wiki/Sport']",en,Lisbon 🇵🇹 is ready for WOW FC | Live May 22nd,"Lisbon, here we go 🇵🇹

Proud to support this sport and witness these incredible athletes live at Campo Pequeno.

This is more than a fight night. It’s an amazing experience. 
Big energy. Big moments. 

@WOWFC  
Let’s go.",N/A,2026-06-17 13:13:18.890615+00:00
